City,Country,Continent,Population (2024),Population (2023),Growth Rate
Shaoyang,China,Asia,776404,761169,0.02
Yanji,China,Asia,775672,757224,0.0244
Tirupati,India,Asia,775455,752744,0.0302
Yuxi,China,Asia,774356,750102,0.0323
Tongliao,China,Asia,772756,756158,0.022
Sialkot,Pakistan,Asia,770962,753325,0.0234
Tongling,China,Asia,770032,752916,0.0227
Ansan,South Korea,Asia,768822,766703,0.0028
Wuzhou,China,Asia,768512,751679,0.0224
Dazhou,China,Asia,767532,748257,0.0258
Suining Sichuan,China,Asia,765887,750097,0.0211
Mangalore,India,Asia,763312,749073,0.019
Jiamusi,China,Asia,761903,749763,0.0162
Al Hudaydah,Yemen,Asia,759157,734699,0.0333
Sargodha,Pakistan,Asia,757915,741818,0.0217
Nay Pyi Taw,Myanmar,Asia,757823,722836,0.0484
Bacoor,Philippines,Asia,757035,739682,0.0235
Dongtai,China,Asia,756344,738200,0.0246
Zhangjiagang,China,Asia,755752,733810,0.0299
Nanded Waghala,India,Asia,755577,738552,0.0231
Xianyang Shaanxi,China,Asia,754446,743491,0.0147
Amara,Iraq,Asia,753708,729276,0.0335
Zarqa,Jordan,Asia,753392,748428,0.0066
Bhavnagar,India,Asia,751493,737128,0.0195
Panzhihua,China,Asia,750036,738495,0.0156
